Organisation Name,Section,Costs (Higher),Financial year: End Date
Assoziation _kologischer Lebensmittelhersteller e.V. (A_L e.V.),III - Non-governmental organisations,130000,01/12/2016
Associazione Italiana per il Factoring (ASSIFACT),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2016
International Risk Governance Council (IRGC),III - Non-governmental organisations,9999,01/12/2015
Comit_ Europ_en des Entreprises Vins (CEEV),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
ASEGRE - Asociaci„n de Empresas Gestoras de Residuos y Recursos Especiales (ASEGRE),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Opel Automobile GmbH (Opel),II - In-house lobbyists and trade/business/professional associations,699999,01/12/2016
Conf_d_ration Fiscale Europ_enne (CFE),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Alliance for Regenerative Medicine (ARM),III - Non-governmental organisations,199999,01/12/2016
Marking Public Affairs bvba,I - Professional consultancies/law firms/self-employed consultants,99999,01/12/2017
DAIKIN APPLIED EUROPE (DAE),III - Non-governmental organisations,11250,01/03/2016
Bayerische Motoren Werke Aktiengesellschaft (BMW Group),II - In-house lobbyists and trade/business/professional associations,1499999,01/12/2016
Shifting Values e.U. (SV),I - Professional consultancies/law firms/self-employed consultants,49999,01/12/2015
UNION OF ROMANIAN INLAND PORTS (UPIR),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Central Lobby Consultants Ltd (CLC),I - Professional consultancies/law firms/self-employed consultants,199999,01/03/2016
Svenska Fondhandlaref_reningen (FHF),II - In-house lobbyists and trade/business/professional associations,999999,01/12/2016
Lufthansa Group (LHG),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Safeguard for Agricultural Varieties in Europe (SAVE Foundation),III - Non-governmental organisations,9999,01/12/2017
European CRO Federation (EUCROF),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Blockchain and Virtual Currencies Working Group (BVC WG),II - In-house lobbyists and trade/business/professional associations, -   ,
Initiative Urheberrecht,III - Non-governmental organisations,9999,01/12/2016
Copenhagen Airports A/S (CPH),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
DuPont de Nemours International SARL,II - In-house lobbyists and trade/business/professional associations,299999,01/12/2015
Avicenna Alliance -,III - Non-governmental organisations, -   ,
Conf_deration Europ_enne des Propri_taires Forestiers (CEPF),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Rockwool International A/S (RI),II - In-house lobbyists and trade/business/professional associations,199999,01/01/2016
Europacable,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
European Crop Protection Association (ECPA),II - In-house lobbyists and trade/business/professional associations,699999,01/12/2016
International Capital Market Association (ICMA),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
BNP Paribas Cardif,II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Forschungsgruppe Lebensmittelsicherheit (FGL),"IV - Think tanks, research and academic institutions",9999,01/12/2016
Union des Industries Chimiques (UIC),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Union of the Baltic Cities (UBC),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2016
Palo Alto Networks Inc.,II - In-house lobbyists and trade/business/professional associations,24999,01/07/2017
"Faculty of Technical Sciences, University of Novi Sad (FTS)","IV - Think tanks, research and academic institutions",399999,01/12/2015
Euromontana (Euromontana),III - Non-governmental organisations,199999,01/12/2015
Verband der Kali- und Salzindustrie e.V. (VKS),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2017
European Association for the Taps and Valves Industry (CEIR),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
University of Pretoria (UP),"IV - Think tanks, research and academic institutions",352,01/12/2015
European Anti Poverty Network (EAPN),III - Non-governmental organisations,199999,01/12/2015
Daimler Aktiengesellschaft (DAI),II - In-house lobbyists and trade/business/professional associations,2749000,01/12/2016
International Air Transport Association (IATA),II - In-house lobbyists and trade/business/professional associations,999999,01/04/2017
Naturschutzbund Deutschland e.V. (NABU),III - Non-governmental organisations,399999,01/12/2015
XBRL Europe (XBRL Europe),III - Non-governmental organisations,9999,01/12/2016
Polish Spirits Industry (ZP PPS),II - In-house lobbyists and trade/business/professional associations,268846,01/12/2016
European Association of Co-operative Banks (EACB),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
SINDICATO DE ENFERMERIA SATSE (SATSE),II - In-house lobbyists and trade/business/professional associations,18725,01/12/2016
BNP Paribas Personal Finance (BNP Paribas PF),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Council of Bars and Law Societies of Europe (CCBE),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Arla Foods amba (Arla),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Verbraucherzentrale Bundesverband (vzbv),III - Non-governmental organisations,1249999,01/12/2016
Manufacture Française des Pneumatiques Michelin (MFPM),II - In-house lobbyists and trade/business/professional associations,899999,01/12/2015
BUSINESSEUROPE,II - In-house lobbyists and trade/business/professional associations,4249999,01/12/2016
Bundesverband der Dolmetscher und Êbersetzer e.V. (BDÊ),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Unistock Europe - Association of Professional Portside Storekeepers in the Food and Feed Chain (UNISTOCK),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Finanssiala ry - Finance Finland (FA - FFI),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Industriegewerkschaft Bauen-Agrar-Umwelt (IG BAU),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2017
European Property Federation (EPF),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
FEDEREC - Federation des Entreprises du Recyclage (FEDEREC),II - In-house lobbyists and trade/business/professional associations,9999,01/11/2015
Zweites Deutsches Fernsehen (ZDF),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",399999,01/12/2017
"Tandem Social, SCCL (Tandem Social)",I - Professional consultancies/law firms/self-employed consultants,699999,01/12/2016
F_d_ration Française des Tuiles et Briques (FFTB),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
Associazione Nazionale fra le Imprese Assicuratrici (ANIA),II - In-house lobbyists and trade/business/professional associations,530000,01/12/2015
Union Europ_enne du Commerce du B_tail et des M_tiers de la Viande (U.E.C.B.V.),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2016
State Street Corporation (STT),II - In-house lobbyists and trade/business/professional associations,799999,01/12/2016
European Committee of Associations of Manufacturers of Gears and Transmission Parts (EUROTRANS),III - Non-governmental organisations,49999,01/12/2017
Bayer AG,II - In-house lobbyists and trade/business/professional associations,1948000,01/12/2016
Pirelli & C. SpA,II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
GlaxoSmithKline (GSK),II - In-house lobbyists and trade/business/professional associations,1749000,01/12/2016
Bundesarbeitgeberverband Chemie e.V. (BAVC),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2017
Centrul National de Promovare a Transportului Intermodal (CNPTI),III - Non-governmental organisations,4500,01/12/2017
KIC InnoEnergy SE (KIC IE),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
European Student Think Tank (EST),"IV - Think tanks, research and academic institutions",500,01/09/2017
Airbus Group N.V.,II - In-house lobbyists and trade/business/professional associations,1999999,01/12/2015
"Association Internationale de la Savonnerie, de la D_tergence et des Produits d'Entretien (A.I.S.E.)",II - In-house lobbyists and trade/business/professional associations,499999,01/12/2015
EUROPEAN ASSOCIATION OF DAIRY TRADE (EUCOLAIT),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
European Express Association (EEA),II - In-house lobbyists and trade/business/professional associations,600000,01/12/2016
VDE Verband der Elektrotechnik Elektronik Informationstechnik (VDE),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2015
NEX,II - In-house lobbyists and trade/business/professional associations,499999,01/03/2017
VocaLink,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Udruga ekolo_kih poljoprivrednih proizvo_a_a Hrvatske (UEPP),III - Non-governmental organisations,1000,01/12/2016
EVONIK INDUSTRIES AG,II - In-house lobbyists and trade/business/professional associations,1999999,01/12/2016
"Bund fôr Umwelt und Naturschutz Deutschland e.V. , Friends of the Earth Germany (BUND e.V.)",III - Non-governmental organisations,9999,01/12/2016
European Cigar Manufacturers Association (ECMA),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Baltic Sea States Subregional Co-operation (BSSSC),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",9999,01/12/2016
EDANA AISBL (EDANA),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Asociaci„n Espa_ola de Operadores de Productos PetrolÍferos (AOP),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Union des Industries et M_tiers de la M_tallurgie (UIMM),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
SURFRIDER FOUNDATION EUROPE (SFE),III - Non-governmental organisations,99999,01/12/2015
CEDAG - Comit_ Europ_en des Associations d'int_rêt G_n_ral - European Council for non-profit organisations (CEDAG),III - Non-governmental organisations,9999,01/12/2016
EURELECTRIC aisbl (EURELECTRIC),II - In-house lobbyists and trade/business/professional associations,699999,01/11/2017
Land- en Tuinbouw Organisatie Nederland (LTO Nederland),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Aviva Plc (Aviva),II - In-house lobbyists and trade/business/professional associations,599999,01/12/2017
